dg,quest,M,SD
NT1,ESS,16.984375,4.67852977686536
NT2,ESS,13.0588235294118,3.84822342509005
IH,ESS,14.030303030303,5.37054960225702
NT1,FSS,42.484375,11.6127901402406
NT2,FSS,43.9411764705882,10.5384450242629
IH,FSS,43.9090909090909,15.3548926167762
NT1,NSS,25.953125,11.0128780136192
NT2,NSS,17.4705882352941,9.3214647927433
IH,NSS,-,-
